_10k,10K
Battery3Bar,Battery 3 Bar
Battery4Bar,Battery 4 Bar
Battery5Bar,Battery 5 Bar
Battery6Bar,Battery 6 Bar
BatteryAlert,Battery Alert
BatteryChargingFull,Battery Charging Full
BatteryFull,Battery Full
BatterySaver,Battery Saver
BatteryStd,Battery Std
BatteryUnknown,Battery Unknown
BeachAccess,Beach Access
Bed,Bed
BedroomBaby,Bedroom Baby
BedroomChild,Bedroom Child
BedroomParent,Bedroom Parent
Bedtime,Bedtime
BedtimeOff,Bedtime Off
Beenhere,Beenhere
Bento,Bento
BikeScooter,Bike Scooter
Biotech,Biotech
Blender,Blender
Blind,Blind
Blinds,Blinds
BlindsClosed,Blinds Closed
Block,Block
Bloodtype,Bloodtype
Bluetooth,Bluetooth
BluetoothAudio,Bluetooth Audio
BluetoothConnected,Bluetooth Connected
BluetoothDisabled,Bluetooth Disabled
BluetoothDrive,Bluetooth Drive
BluetoothSearching,Bluetooth Searching
BlurCircular,Blur Circular
BlurLinear,Blur Linear
BlurOff,Blur Off
BlurOn,Blur On
Bolt,Bolt
Book,Book
BookOnline,Book Online
Bookmark,Bookmark
BookmarkAdd,Bookmark Add
BookmarkAdded,Bookmark Added
BookmarkBorder,Bookmark Border
BookmarkRemove,Bookmark Remove
Bookmarks,Bookmarks
BorderAll,Border All
BorderBottom,Border Bottom
BorderClear,Border Clear
BorderColor,Border Color
BorderHorizontal,Border Horizontal
BorderInner,Border Inner
BorderLeft,Border Left
BorderOuter,Border Outer
BorderRight,Border Right
BorderStyle,Border Style
BorderTop,Border Top
BorderVertical,Border Vertical
Boy,Boy
BrandingWatermark,Branding Watermark
BreakfastDining,Breakfast Dining
Brightness1,Brightness 1
Brightness2,Brightness 2
Brightness3,Brightness 3
Brightness4,Brightness 4
Brightness5,Brightness 5
Brightness6,Brightness 6
Brightness7,Brightness 7
BrightnessAuto,Brightness Auto
BrightnessHigh,Brightness High
BrightnessLow,Brightness Low
BrightnessMedium,Brightness Medium
BroadcastOnHome,Broadcast On Home
BroadcastOnPersonal,Broadcast On Personal
BrokenImage,Broken Image
BrowseGallery,Browse Gallery
BrowserNotSupported,Browser Not Supported
BrowserUpdated,Browser Updated
BrunchDining,Brunch Dining
Brush,Brush
BubbleChart,Bubble Chart
BugReport,Bug Report
Build,Build
BuildCircle,Build Circle
Bungalow,Bungalow
BurstMode,Burst Mode
BusAlert,Bus Alert
Business,Business
BusinessCenter,Business Center
Cabin,Cabin
Cable,Cable
Cached,Cached
Cake,Cake
Calculate,Calculate
CalendarMonth,Calendar Month
CalendarToday,Calendar Today
CalendarViewDay,Calendar View Day
CalendarViewMonth,Calendar View Month
CalendarViewWeek,Calendar View Week
Call,Call
CallEnd,Call End
CallMade,Call Made
CallMerge,Call Merge
CallMissed,Call Missed
CallMissedOutgoing,Call Missed Outgoing
CallReceived,Call Received
CallSplit,Call Split
CallToAction,Call To Action
Camera,Camera
CameraAlt,Camera Alt
CameraEnhance,Camera Enhance
CameraFront,Camera Front
CameraIndoor,Camera Indoor
CameraOutdoor,Camera Outdoor
CameraRear,Camera Rear
CameraRoll,Camera Roll
Cameraswitch,Cameraswitch
Campaign,Campaign
Cancel,Cancel
CancelPresentation,Cancel Presentation
CancelScheduleSend,Cancel Schedule Send
CandlestickChart,Candlestick Chart
CarCrash,Car Crash
CarRental,Car Rental
CarRepair,Car Repair
CardGiftcard,Card Giftcard
CardMembership,Card Membership
CardTravel,Card Travel
Carpenter,Carpenter
Cases,Cases
Casino,Casino
Cast,Cast
CastConnected,Cast Connected
CastForEducation,Cast For Education
Castle,Castle
CatchingPokemon,Catching Pokemon
Category,Category
Celebration,Celebration
CellTower,Cell Tower
CellWifi,Cell Wifi
CenterFocusStrong,Center Focus Strong
CenterFocusWeak,Center Focus Weak
Chair,Chair
ChairAlt,Chair Alt
Chalet,Chalet
ChangeCircle,Change Circle
ChangeHistory,Change History
ChargingStation,Charging Station
Chat,Chat
ChatBubble,Chat Bubble
ChatBubbleOutline,Chat Bubble Outline
Check,Check
CheckBox,Check Box
CheckBoxOutlineBlank,Check Box Outline Blank
CheckCircle,Check Circle
CheckCircleOutline,Check Circle Outline
Checklist,Checklist
ChecklistRtl,Checklist Rtl
Checkroom,Checkroom
ChevronLeft,Chevron Left
ChevronRight,Chevron Right
ChildCare,Child Care
ChildFriendly,Child Friendly
ChromeReaderMode,Chrome Reader Mode
Church,Church
Circle,Circle
CircleNotifications,Circle Notifications
Class,Class
CleanHands,Clean Hands
CleaningServices,Cleaning Services
Clear,Clear
ClearAll,Clear All
Close,Close
CloseFullscreen,Close Fullscreen
ClosedCaption,Closed Caption
ClosedCaptionDisabled,Closed Caption Disabled
ClosedCaptionOff,Closed Caption Off
Cloud,Cloud
CloudCircle,Cloud Circle
CloudDone,Cloud Done
CloudDownload,Cloud Download
CloudOff,Cloud Off
CloudQueue,Cloud Queue
CloudSync,Cloud Sync
CloudUpload,Cloud Upload
Co2,Co2
CoPresent,Co Present
Code,Code
CodeOff,Code Off
Coffee,Coffee
CoffeeMaker,Coffee Maker
Collections,Collections
CollectionsBookmark,Collections Bookmark
ColorLens,Color Lens
Colorize,Colorize
Comment,Comment
CommentBank,Comment Bank
CommentsDisabled,Comments Disabled
Commit,Commit
Commute,Commute
Compare,Compare
CompareArrows,Compare Arrows
CompassCalibration,Compass Calibration
Compost,Compost
Compress,Compress
Computer,Computer
ConfirmationNumber,Confirmation Number
ConnectWithoutContact,Connect Without Contact
ConnectedTv,Connected Tv
ConnectingAirports,Connecting Airports
Construction,Construction
ContactEmergency,Contact Emergency
ContactMail,Contact Mail
ContactPage,Contact Page
ContactPhone,Contact Phone
ContactSupport,Contact Support
Contactless,Contactless
Contacts,Contacts
ContentCopy,Content Copy
ContentCut,Content Cut
ContentPaste,Content Paste
ContentPasteGo,Content Paste Go
ContentPasteOff,Content Paste Off
ContentPasteSearch,Content Paste Search
Contrast,Contrast
ControlCamera,Control Camera
ControlPoint,Control Point
ControlPointDuplicate,Control Point Duplicate
Cookie,Cookie
CopyAll,Copy All
Copyright,Copyright
Coronavirus,Coronavirus
CorporateFare,Corporate Fare
Cottage,Cottage
Countertops,Countertops
Create,Create
CreateNewFolder,Create New Folder
CreditCard,Credit Card
CreditCardOff,Credit Card Off
CreditScore,Credit Score
Crib,Crib
CrisisAlert,Crisis Alert
Crop,Crop
Crop169,Crop 16 9
Crop32,Crop 3 2
Crop54,Crop 5 4
Crop75,Crop 7 5
CropDin,Crop Din
CropFree,Crop Free
CropLandscape,Crop Landscape
CropOriginal,Crop Original
CropPortrait,Crop Portrait
CropRotate,Crop Rotate
CropSquare,Crop Square
CrueltyFree,Cruelty Free
Css,Css
CurrencyBitcoin,Currency Bitcoin
CurrencyExchange,Currency Exchange
CurrencyFranc,Currency Franc
CurrencyLira,Currency Lira
CurrencyPound,Currency Pound
CurrencyRuble,Currency Ruble
CurrencyRupee,Currency Rupee
CurrencyYen,Currency Yen
CurrencyYuan,Currency Yuan
Curtains,Curtains
CurtainsClosed,Curtains Closed
Cyclone,Cyclone
Dangerous,Dangerous
DarkMode,Dark Mode
Dashboard,Dashboard
DashboardCustomize,Dashboard Customize
DataArray,Data Array
DataExploration,Data Exploration
DataObject,Data Object
DataSaverOff,Data Saver Off
DataSaverOn,Data Saver On
DataThresholding,Data Thresholding
DataUsage,Data Usage
Dataset,Dataset
DatasetLinked,Dataset Linked
DateRange,Date Range
Deblur,Deblur
Deck,Deck
Dehaze,Dehaze
Delete,Delete
DeleteForever,Delete Forever
DeleteOutline,Delete Outline
DeleteSweep,Delete Sweep
DeliveryDining,Delivery Dining
DensityLarge,Density Large
DensityMedium,Density Medium
DensitySmall,Density Small
DepartureBoard,Departure Board
Description,Description
Deselect,Deselect
DesignServices,Design Services
Desk,Desk
DesktopAccessDisabled,Desktop Access Disabled
DesktopMac,Desktop Mac
DesktopWindows,Desktop Windows
Details,Details
DeveloperBoard,Developer Board
DeveloperBoardOff,Developer Board Off
DeveloperMode,Developer Mode
DeviceHub,Device Hub
DeviceThermostat,Device Thermostat
DeviceUnknown,Device Unknown
Devices,Devices
DevicesFold,Devices Fold
DevicesOther,Devices Other
DialerSip,Dialer Sip
Dialpad,Dialpad
Diamond,Diamond
Difference,Difference
Dining,Dining
DinnerDining,Dinner Dining
Directions,Directions
DirectionsBike,Directions Bike
DirectionsBoat,Directions Boat
DirectionsBoatFilled,Directions Boat Filled
DirectionsBus,Directions Bus
DirectionsBusFilled,Directions Bus Filled
DirectionsCar,Directions Car
DirectionsCarFilled,Directions Car Filled
DirectionsOff,Directions Off
DirectionsRailway,Directions Railway
DirectionsRailwayFilled,Directions Railway Filled
DirectionsRun,Directions Run
DirectionsSubway,Directions Subway
DirectionsSubwayFilled,Directions Subway Filled
DirectionsTransit,Directions Transit
DirectionsTransitFilled,Directions Transit Filled
DirectionsWalk,Directions Walk
DirtyLens,Dirty Lens
DisabledByDefault,Disabled By Default
DisabledVisible,Disabled Visible
DiscFull,Disc Full
Discount,Discount
DisplaySettings,Display Settings
Diversity1,Diversity 1
Diversity2,Diversity 2
Diversity3,Diversity 3
Dns,Dns
DoDisturb,Do Disturb
DoDisturbAlt,Do Disturb Alt
DoDisturbOff,Do Disturb Off
DoDisturbOn,Do Disturb On
DoNotDisturb,Do Not Disturb
DoNotDisturbAlt,Do Not Disturb Alt
DoNotDisturbOff,Do Not Disturb Off
DoNotDisturbOn,Do Not Disturb On
DoNotDisturbOnTotalSilence,Do Not Disturb On Total Silence
DoNotStep,Do Not Step
DoNotTouch,Do Not Touch
Dock,Dock
DocumentScanner,Document Scanner
Domain,Domain
DomainAdd,Domain Add
DomainDisabled,Domain Disabled
DomainVerification,Domain Verification
Done,Done
DoneAll,Done All
DoneOutline,Done Outline
DonutLarge,Donut Large
DonutSmall,Donut Small
DoorBack,Door Back
DoorFront,Door Front
DoorSliding,Door Sliding
Doorbell,Doorbell
DoubleArrow,Double Arrow
DownhillSkiing,Downhill Skiing
Download,Download
DownloadDone,Download Done
DownloadForOffline,Download For Offline
Downloading,Downloading
Drafts,Drafts
DragHandle,Drag Handle
DragIndicator,Drag Indicator
Draw,Draw
DriveEta,Drive Eta
DriveFileMove,Drive File Move
DriveFileMoveRtl,Drive File Move Rtl
DriveFileRenameOutline,Drive File Rename Outline
DriveFolderUpload,Drive Folder Upload
Dry,Dry
DryCleaning,Dry Cleaning
Duo,Duo
Dvr,Dvr
DynamicFeed,Dynamic Feed
DynamicForm,Dynamic Form
EMobiledata,E Mobiledata
Earbuds,Earbuds
EarbudsBattery,Earbuds Battery
East,East
Eco,Eco
EdgesensorHigh,Edgesensor High
EdgesensorLow,Edgesensor Low
Edit,Edit
EditAttributes,Edit Attributes
EditCalendar,Edit Calendar
EditLocation,Edit Location
EditLocationAlt,Edit Location Alt
EditNote,Edit Note
EditNotifications,Edit Notifications
EditOff,Edit Off
EditRoad,Edit Road
Egg,Egg
EggAlt,Egg Alt
Eject,Eject
Elderly,Elderly
ElderlyWoman,Elderly Woman
ElectricBike,Electric Bike
ElectricBolt,Electric Bolt
ElectricCar,Electric Car
ElectricMeter,Electric Meter
ElectricMoped,Electric Moped
ElectricRickshaw,Electric Rickshaw
ElectricScooter,Electric Scooter
ElectricalServices,Electrical Services
Elevator,Elevator
Email,Email
Emergency,Emergency
EmergencyRecording,Emergency Recording
EmergencyShare,Emergency Share
EmojiEmotions,Emoji Emotions
EmojiEvents,Emoji Events
EmojiFlags,Emoji Flags
EmojiFoodBeverage,Emoji Food Beverage
EmojiNature,Emoji Nature
EmojiObjects,Emoji Objects
EmojiPeople,Emoji People
EmojiSymbols,Emoji Symbols
EmojiTransportation,Emoji Transportation
EnergySavingsLeaf,Energy Savings Leaf
Engineering,Engineering
EnhancedEncryption,Enhanced Encryption
Equalizer,Equalizer
Error,Error
ErrorOutline,Error Outline
Escalator,Escalator
EscalatorWarning,Escalator Warning
Euro,Euro
EuroSymbol,Euro Symbol
EvStation,Ev Station
Event,Event
EventAvailable,Event Available
EventBusy,Event Busy
EventNote,Event Note
EventRepeat,Event Repeat
EventSeat,Event Seat
ExitToApp,Exit To App
Expand,Expand
ExpandCircleDown,Expand Circle Down
ExpandLess,Expand Less
ExpandMore,Expand More
Explicit,Explicit
Explore,Explore
ExploreOff,Explore Off
Exposure,Exposure
ExposureNeg1,Exposure Neg 1
ExposureNeg2,Exposure Neg 2
ExposurePlus1,Exposure Plus 1
ExposurePlus2,Exposure Plus 2
ExposureZero,Exposure Zero
Extension,Extension
ExtensionOff,Extension Off
Face,Face
Face2,Face 2
Face3,Face 3
Face4,Face 4
Face5,Face 5
Face6,Face 6
FaceRetouchingNatural,Face Retouching Natural
FaceRetouchingOff,Face Retouching Off
Facebook,Facebook
FactCheck,Fact Check
Factory,Factory
FamilyRestroom,Family Restroom
FastForward,Fast Forward
FastRewind,Fast Rewind
Fastfood,Fastfood
Favorite,Favorite
FavoriteBorder,Favorite Border
Fax,Fax
FeaturedPlayList,Featured Play List
FeaturedVideo,Featured Video
Feed,Feed
Feedback,Feedback
Female,Female
Fence,Fence
Festival,Festival
FiberDvr,Fiber Dvr
FiberManualRecord,Fiber Manual Record
FiberNew,Fiber New
FiberPin,Fiber Pin
FiberSmartRecord,Fiber Smart Record
FileCopy,File Copy
FileDownload,File Download
FileDownloadDone,File Download Done
FileDownloadOff,File Download Off
FileOpen,File Open
FilePresent,File Present
FileUpload,File Upload
Filter,Filter
Filter1,Filter 1
Filter2,Filter 2
Filter3,Filter 3
Filter4,Filter 4
Filter5,Filter 5
Filter6,Filter 6
Filter7,Filter 7
Filter8,Filter 8
Filter9,Filter 9
Filter9Plus,Filter 9 Plus
FilterAlt,Filter Alt
FilterAltOff,Filter Alt Off
FilterBAndW,Filter B And W
FilterCenterFocus,Filter Center Focus
FilterDrama,Filter Drama
FilterFrames,Filter Frames
FilterHdr,Filter Hdr
FilterList,Filter List
FilterListOff,Filter List Off
FilterNone,Filter None
FilterTiltShift,Filter Tilt Shift
FilterVintage,Filter Vintage
FindInPage,Find In Page
FindReplace,Find Replace
Fingerprint,Fingerprint
FireExtinguisher,Fire Extinguisher
FireHydrantAlt,Fire Hydrant Alt
FireTruck,Fire Truck
Fireplace,Fireplace
FirstPage,First Page
FitScreen,Fit Screen
Fitbit,Fitbit
FitnessCenter,Fitness Center
Flag,Flag
FlagCircle,Flag Circle
Flaky,Flaky
Flare,Flare
FlashAuto,Flash Auto
FlashOff,Flash Off
FlashOn,Flash On
FlashlightOff,Flashlight Off
FlashlightOn,Flashlight On
Flatware,Flatware
Flight,Flight
FlightClass,Flight Class
FlightLand,Flight Land
FlightTakeoff,Flight Takeoff
Flip,Flip
FlipCameraAndroid,Flip Camera Android
FlipCameraIos,Flip Camera Ios
FlipToBack,Flip To Back
FlipToFront,Flip To Front
Flood,Flood
Flourescent,Flourescent
Flourescent,Flourescent
Fluorescent,Fluorescent
FlutterDash,Flutter Dash
FmdBad,Fmd Bad
FmdGood,Fmd Good
Folder,Folder
FolderCopy,Folder Copy
FolderDelete,Folder Delete
FolderOff,Folder Off
FolderOpen,Folder Open
FolderShared,Folder Shared
FolderSpecial,Folder Special
FolderZip,Folder Zip
FollowTheSigns,Follow The Signs
FontDownload,Font Download
FontDownloadOff,Font Download Off
FoodBank,Food Bank
Forest,Forest
ForkLeft,Fork Left
ForkRight,Fork Right
FormatAlignCenter,Format Align Center
FormatAlignJustify,Format Align Justify
FormatAlignLeft,Format Align Left
FormatAlignRight,Format Align Right
FormatBold,Format Bold
FormatClear,Format Clear
FormatColorFill,Format Color Fill
FormatColorReset,Format Color Reset
FormatColorText,Format Color Text
FormatIndentDecrease,Format Indent Decrease
FormatIndentIncrease,Format Indent Increase
FormatItalic,Format Italic
FormatLineSpacing,Format Line Spacing
FormatListBulleted,Format List Bulleted
FormatListNumbered,Format List Numbered
FormatListNumberedRtl,Format List Numbered Rtl
FormatOverline,Format Overline
FormatPaint,Format Paint
FormatQuote,Format Quote
FormatShapes,Format Shapes
FormatSize,Format Size
FormatStrikethrough,Format Strikethrough
FormatTextdirectionLToR,Format Textdirection L To R
FormatTextdirectionRToL,Format Textdirection R To L
FormatUnderlined,Format Underlined
Fort,Fort
Forum,Forum
Forward,Forward
Forward10,Forward 10
Forward30,Forward 30
Forward5,Forward 5
ForwardToInbox,Forward To Inbox
Foundation,Foundation
FreeBreakfast,Free Breakfast
FreeCancellation,Free Cancellation
FrontHand,Front Hand
Fullscreen,Fullscreen
FullscreenExit,Fullscreen Exit
Functions,Functions
GMobiledata,G Mobiledata
GTranslate,G Translate
Gamepad,Gamepad
Games,Games
Garage,Garage
GasMeter,Gas Meter
Gavel,Gavel
GeneratingTokens,Generating Tokens
Gesture,Gesture
GetApp,Get App
Gif,Gif
GifBox,Gif Box
Girl,Girl
Gite,Gite
GolfCourse,Golf Course
GppBad,Gpp Bad
GppGood,Gpp Good
GppMaybe,Gpp Maybe
GpsFixed,Gps Fixed
GpsNotFixed,Gps Not Fixed
GpsOff,Gps Off
Grade,Grade
Gradient,Gradient
Grading,Grading
Grain,Grain
GraphicEq,Graphic Eq
Grass,Grass
GridGoldenratio,Grid Goldenratio
GridOff,Grid Off
GridOn,Grid On
GridView,Grid View
Group,Group
GroupAdd,Group Add
GroupOff,Group Off
GroupRemove,Group Remove
GroupWork,Group Work
Groups,Groups
Groups2,Groups 2
Groups3,Groups 3
HMobiledata,H Mobiledata
HPlusMobiledata,H Plus Mobiledata
Hail,Hail
Handshake,Handshake
Handyman,Handyman
Hardware,Hardware
Hd,Hd
HdrAuto,Hdr Auto
HdrAutoSelect,Hdr Auto Select
HdrEnhancedSelect,Hdr Enhanced Select
HdrOff,Hdr Off
HdrOffSelect,Hdr Off Select
HdrOn,Hdr On
HdrOnSelect,Hdr On Select
HdrPlus,Hdr Plus
HdrStrong,Hdr Strong
HdrWeak,Hdr Weak
Headphones,Headphones
HeadphonesBattery,Headphones Battery
Headset,Headset
HeadsetMic,Headset Mic
HeadsetOff,Headset Off
Healing,Healing
HealthAndSafety,Health And Safety
Hearing,Hearing
HearingDisabled,Hearing Disabled
HeartBroken,Heart Broken
HeatPump,Heat Pump
Height,Height
Help,Help
HelpCenter,Help Center
HelpOutline,Help Outline
Hevc,Hevc
Hexagon,Hexagon
HideImage,Hide Image
HideSource,Hide Source
HighQuality,High Quality
Highlight,Highlight
HighlightAlt,Highlight Alt
HighlightOff,Highlight Off
Hiking,Hiking
History,History
HistoryEdu,History Edu
HistoryToggleOff,History Toggle Off
Hive,Hive
Hls,Hls
HlsOff,Hls Off
HolidayVillage,Holiday Village
Home,Home
HomeMax,Home Max
HomeMini,Home Mini
HomeRepairService,Home Repair Service
HomeWork,Home Work
HorizontalDistribute,Horizontal Distribute
HorizontalRule,Horizontal Rule
HorizontalSplit,Horizontal Split
HotTub,Hot Tub
Hotel,Hotel
HotelClass,Hotel Class
HourglassBottom,Hourglass Bottom
HourglassDisabled,Hourglass Disabled
HourglassEmpty,Hourglass Empty
HourglassFull,Hourglass Full
HourglassTop,Hourglass Top
House,House
HouseSiding,House Siding
Houseboat,Houseboat
HowToReg,How To Reg
HowToVote,How To Vote
Html,Html
Http,Http
Https,Https
Hub,Hub
Hvac,Hvac
IceSkating,Ice Skating
Icecream,Icecream
Image,Image
ImageAspectRatio,Image Aspect Ratio
ImageNotSupported,Image Not Supported
ImageSearch,Image Search
ImagesearchRoller,Imagesearch Roller
ImportContacts,Import Contacts
ImportExport,Import Export
ImportantDevices,Important Devices
Inbox,Inbox
IncompleteCircle,Incomplete Circle
IndeterminateCheckBox,Indeterminate Check Box
Info,Info
Input,Input
InsertChart,Insert Chart
InsertChartOutlined,Insert Chart Outlined
InsertComment,Insert Comment
InsertDriveFile,Insert Drive File
InsertEmoticon,Insert Emoticon
InsertInvitation,Insert Invitation
InsertLink,Insert Link
InsertPageBreak,Insert Page Break
InsertPhoto,Insert Photo
Insights,Insights
InstallDesktop,Install Desktop
InstallMobile,Install Mobile
IntegrationInstructions,Integration Instructions
Interests,Interests
InterpreterMode,Interpreter Mode
Inventory,Inventory
Inventory2,Inventory 2
InvertColors,Invert Colors
InvertColorsOff,Invert Colors Off
IosShare,Ios Share
Iron,Iron
Iso,Iso
Javascript,Javascript
JoinFull,Join Full
JoinInner,Join Inner
JoinLeft,Join Left
JoinRight,Join Right
Kayaking,Kayaking
KebabDining,Kebab Dining
Key,Key
KeyOff,Key Off
Keyboard,Keyboard
KeyboardAlt,Keyboard Alt
KeyboardArrowDown,Keyboard Arrow Down
KeyboardArrowLeft,Keyboard Arrow Left
KeyboardArrowRight,Keyboard Arrow Right
KeyboardArrowUp,Keyboard Arrow Up
KeyboardBackspace,Keyboard Backspace
KeyboardCapslock,Keyboard Capslock
KeyboardCommandKey,Keyboard Command Key
KeyboardControlKey,Keyboard Control Key
KeyboardDoubleArrowDown,Keyboard Double Arrow Down
KeyboardDoubleArrowLeft,Keyboard Double Arrow Left
KeyboardDoubleArrowRight,Keyboard Double Arrow Right
KeyboardDoubleArrowUp,Keyboard Double Arrow Up
KeyboardHide,Keyboard Hide
KeyboardOptionKey,Keyboard Option Key
KeyboardReturn,Keyboard Return
KeyboardTab,Keyboard Tab
KeyboardVoice,Keyboard Voice
KingBed,King Bed
Kitchen,Kitchen
Kitesurfing,Kitesurfing
Label,Label
LabelImportant,Label Important
LabelOff,Label Off
Lan,Lan
Landscape,Landscape
Landslide,Landslide
Language,Language
Laptop,Laptop
LaptopChromebook,Laptop Chromebook
LaptopMac,Laptop Mac
